GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
21,888.2737,2440.0736,2967.7894,0.0,0.0,0.0,-2368.5828,-18948.577,1120.9636,10644.4277,-5192.6114,104.40509184,-3255.631799999999,-5088.20630816,-8343.838108159998
22,873.8521,2453.364,2912.6247,0.0,0.0,0.0,-2416.1541,-18817.6811,1099.023,10598.4548,-5275.9389,105.523416,-3296.5166000000027,-5170.415484,-8466.932084000004
23,867.6056,2421.4266,2961.6429,0.0,0.0,0.0,-2368.6403,-18871.987,1105.9157,10598.924,-5236.6601,105.86472336,-3285.112500000001,-5130.79537664,-8415.90787664
24,863.3344,2451.8785,2933.5072,0.0,0.0,0.0,-2383.6494,-18942.2093,1117.4426,10622.7102,-5163.4514,104.55183575999999,-3336.9857999999986,-5058.89956424,-8395.885364239999
25,831.3968,2342.898,2945.7587,0.0,0.0,0.0,-2419.3589,-18916.911,1102.3352,10635.502,-5213.7724,106.45603775999999,-3478.379200000001,-5107.31636224,-8585.695562240002
26,905.9369,2427.5349,2946.1646,0.0,0.0,0.0,-2403.3694,-18929.6929,1124.6244,10616.3471,-5167.1825,106.3476396,-3312.454399999997,-5060.8348604,-8373.289260399997
27,876.9166,2427.9171,2933.9637,0.0,0.0,0.0,-2409.5253,-18763.6399,1093.7495,10547.9208,-5234.1822,103.3312392,-3292.6974999999984,-5130.8509608,-8423.548460799997
28,920.527,2433.2746,2940.4995,0.0,0.0,0.0,-2405.6253,-18918.4162,1090.6865,10637.9119,-5210.3364,106.01650152,-3301.142,-5104.31989848,-8405.46189848
29,875.0228,2466.897,2889.8836,0.0,0.0,0.0,-2400.8678,-19107.7006,1106.1986,10626.4259,-5007.6584,104.29136711999999,-3544.1404999999995,-4903.36703288,-8447.50753288
30,904.9464,2553.8701,2923.8382,0.0,0.0,0.0,-2393.0533,-19165.4297,1108.9902,10628.6624,-4982.5712,104.84149392,-3438.1757000000016,-4877.72970608,-8315.905406080003
31,859.5634,2407.2858,2930.9861,0.0,0.0,0.0,-2358.1734,-19155.4389,1096.8768,10615.8597,-4985.2172,105.08861879999999,-3603.040499999999,-4880.1285812,-8483.169081199998
