GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
57,1562.6331,4094.3339,5222.3553,0.0,0.0,0.0,-4302.4164,-35002.2824,1853.7332,18771.2546,-5310.798,151.4482164,-7800.3886999999995,-5159.3497836,-12959.738483599998
58,1435.4431,4080.9374,5180.479,0.0,0.0,0.0,-4320.5231,-35008.7892,1870.4371,18696.7929,-5272.374,147.60199656,-8065.2228,-5124.77200344,-13189.994803439999
59,1564.013,4015.4971,5212.1976,0.0,0.0,0.0,-4274.16,-35252.8336,1875.0069,18777.6364,-5113.6223,148.86729504000002,-8082.642599999999,-4964.75500496,-13047.397604959999
60,1521.7864,4032.1829,5241.7478,0.0,0.0,0.0,-4314.4238,-35094.2112,1855.9963,18732.8325,-5245.3746,149.48372376,-8024.089099999997,-5095.89087624,-13119.979976239996
61,1495.3324,4093.6078,5183.4479,0.0,0.0,0.0,-4289.0108,-35139.1517,1875.5637,18673.4515,-5136.1586,149.81587056,-8106.759200000004,-4986.34272944,-13093.101929440003
62,1501.178,4045.6332,5205.5532,0.0,0.0,0.0,-4285.9982,-35302.9411,1864.4247,18850.8577,-5168.2224,146.76610608000001,-8121.292499999996,-5021.45629392,-13142.748793919995
63,1471.8522,4063.0948,5195.6019,0.0,0.0,0.0,-4271.9377,-35185.7252,1886.4923,18816.5049,-5222.5507,150.11438904000002,-8024.116800000003,-5072.43631096,-13096.553110960003
64,1497.5277,4008.8544,5185.433,0.0,0.0,0.0,-4275.097,-35153.9681,1853.6729,18735.571,-5131.2314,146.64648671999998,-8148.006099999999,-4984.5849132799995,-13132.59101328
65,1517.5179,4063.7333,5210.5234,0.0,0.0,0.0,-4297.2561,-35089.0374,1847.0975,18734.711,-5231.7476,148.00529736000001,-8012.7104,-5083.742302639999,-13096.45270264
66,1478.5996,4091.1424,5193.4085,0.0,0.0,0.0,-4326.4399,-35133.5986,1851.1612,18718.4146,-5183.7607,148.5437256,-8127.3122,-5035.2169744,-13162.529174399999
67,1426.0339,4000.7229,5228.4817,0.0,0.0,0.0,-4325.7997,-35081.4187,1876.9402,18767.2398,-5266.1682,147.80134511999998,-8107.799900000002,-5118.36685488,-13226.166754880001
68,1517.0555,4103.2728,5121.6096,0.0,0.0,0.0,-4271.2794,-35080.6815,1846.0472,18718.3108,-5244.2111,148.44528216,-8045.665000000001,-5095.765817840001,-13141.43081784
69,1460.945,4096.9924,5177.314,0.0,0.0,0.0,-4274.2453,-35329.429,1874.6494,18836.1466,-5071.8813,148.1473944,-8157.626899999996,-4923.7339056,-13081.360805599996
70,1530.2017,4118.6654,5220.2601,0.0,0.0,0.0,-4262.626,-35385.5692,1857.1459,18795.1958,-5038.1256,147.74920992,-8126.726299999998,-4890.37639008,-13017.102690079997
71,1524.023,4062.4568,5218.181,0.0,0.0,0.0,-4261.5487,-35354.0479,1843.2799,18698.7311,-5048.0545,147.1045932,-8268.924799999997,-4900.9499068000005,-13169.874706799998
72,1556.5156,4152.5473,5152.4299,0.0,0.0,0.0,-4270.1664,-35231.6487,1844.2348,18746.561,-5158.0283,150.9702624,-8049.5265,-5007.0580376,-13056.5845376
73,1536.3203,4103.11,5202.0127,0.0,0.0,0.0,-4272.6482,-35284.8296,1894.0165,18715.3622,-5076.2564,148.21000272,-8106.6560999999965,-4928.04639728,-13034.702497279997
74,1521.2664,4034.8245,5160.7284,0.0,0.0,0.0,-4263.3671,-35404.0944,1833.4427,18793.8507,-5033.9516,152.99136431999997,-8323.348800000003,-4880.960235680001,-13204.309035680004
75,1510.7878,4106.9456,5205.5555,0.0,0.0,0.0,-4231.569,-35003.1881,1851.1758,18684.7165,-5386.0408,153.52595136,-7875.5759,-5232.514848639999,-13108.09074864
76,1504.7065,4043.9822,5165.1609,0.0,0.0,0.0,-4279.8618,-35030.7909,1870.0892,18720.2866,-5286.7798,151.82180352,-8006.427300000003,-5134.9579964800005,-13141.385296480003
77,1500.442,4143.6016,5215.5602,0.0,0.0,0.0,-4256.4764,-35130.257,1845.6718,18679.4177,-5155.7507,152.05288536,-8002.040099999995,-5003.69781464,-13005.737914639994
78,1528.0277,4201.5339,5180.6976,0.0,0.0,0.0,-4218.1847,-35123.0116,1858.5009,18729.8685,-5245.3348,155.25944856,-7842.567699999996,-5090.075351439999,-12932.643051439996
79,1488.7271,3975.4681,5175.4955,0.0,0.0,0.0,-4225.5656,-35293.5052,1866.0172,18759.3347,-5113.2912,152.22714408,-8254.028200000004,-4961.06405592,-13215.092255920004
80,1516.6235,4006.7009,5176.877,0.0,0.0,0.0,-4254.9454,-35045.8494,1838.5001,18659.5177,-5158.669,151.17909912,-8102.5755999999965,-5007.48990088,-13110.065500879997
